frequency [Hz], energy flux nu*F_nu [erg/(cm²s)]
9666566423113087000, 2.591976078434069e-9
9339387232904485000, 2.4845808969468486e-9
9941579110740870000, 3.5043141008083183e-9
10616657033551389000, 4.347058179819914e-9
10537739301342760000, 3.935677115453156e-9
10523911914157361000, 3.668090412678381e-9
10479300436552024000, 2.920832031739094e-9
10389841494122793000, 2.6858069671836293e-9
11567555955297374000, 4.754718282560691e-9
11481924551444447000, 4.3118963717992036e-9
11465972586813383000, 4.002119896200941e-9
11450042784423205000, 3.714598469555561e-9
11127455800307007000, 3.6082380974128344e-9
11398863814807720000, 2.921339671560047e-9
11380389959371854000, 2.6779808480969206e-9
12590780448129188000, 4.92390992505353e-9
12497188290394240000, 4.457938865540726e-9
12479825808634170000, 4.13767036390616e-9
12462487448761831000, 3.8404106823189145e-9
12448057217797714000, 3.609074269379132e-9
12404866699548353000, 2.9953685806883343e-9
12298257284109292000, 2.745803099395709e-9
13305560163177343000, 6.3530309021728775e-9
13283483170159833000, 5.811750788097334e-9
13265028280236364000, 5.394221348390299e-9
13693088630660927000, 4.876053671982902e-9
13591722498778153000, 4.421931413694183e-9
13572839368550023000, 4.104249769573459e-9
13553982472863453000, 3.8093910997527675e-9
13539334112567378000, 3.594781541507417e-9
13585162880913269000, 2.9589366236160882e-9
13288614083511704000, 2.7979060673905557e-9
14088747902966712000, 6.747047045302488e-9
14569867265088498000, 6.236891315554046e-9
14444651487299256000, 5.717251497946597e-9
14424583373404266000, 5.306511102902342e-9
14914867090174734000, 4.864810580725325e-9
14786686328514940000, 4.459488577348641e-9
14766143021836388000, 4.139108740881173e-9
14745628256200524000, 3.841745723009515e-9
14728554391747473000, 3.6103288906692984e-9
14680852673103348000, 3.0338743302866533e-9
15736466399383052000, 6.212101889591375e-9
15714603552758804000, 5.765810313105308e-9
15692771080428913000, 5.351581341963198e-9
16114067799982490000, 4.926420617862303e-9
16091680347560673000, 4.5724953180111814e-9
16069323998273840000, 4.243996819400012e-9
16046998708910062000, 3.939098402600787e-9
16024704436317577000, 3.6561045838780075e-9
15531191014489561000, 3.072163132857007e-9
17114704479259611000, 6.161925795570817e-9
17090926831244296000, 5.719238984186859e-9
17067182217778203000, 5.30835580359543e-9
17528084576513493000, 4.927276828439686e-9
17503732614962207000, 4.573290016466731e-9
17479414485859856000, 4.244734424904921e-9
17573835857364520000, 3.891188083706433e-9
17190218823478395000, 3.6794227567655513e-9
18357370186983043000, 6.162818233516682e-9
18333990077177582000, 5.755715567489922e-9
18051557300373598000, 5.308970846320508e-9
18539042887181443000, 4.927847718161457e-9
18770295083557610000, 4.517469904531485e-9
18744217305225028000, 4.1929245571990635e-9
